branch_name,region,sales_count,sales_target,revenue,revenue_target,leads,contacted_leads,spend_allocated
Sandton,Gauteng,1090,930,14250000,12100000,6720,5600,910000
Claremont,Western Cape,1012,880,13290000,11440000,6210,5140,860000
Menlyn,Gauteng,987,860,12860000,11180000,6000,4930,840000
Constantia,Western Cape,940,850,12170000,11050000,5560,4510,790000
Gateway,KZN,920,835,11920000,10850000,5410,4360,775000
Rosebank,Gauteng,898,820,11580000,10660000,5200,4210,750000
Tygervalley,Western Cape,870,810,11150000,10530000,5040,4060,720000
Boulders,Gauteng,842,795,10820000,10340000,4890,3920,700000
Stellenbosch,Western Cape,815,780,10440000,10140000,4620,3710,680000
Durbanville,Western Cape,801,765,10210000,9945000,4500,3600,660000
East London,Eastern Cape,610,720,7600000,9360000,4300,2950,620000
Potchefstroom,North West,592,710,7320000,9230000,4100,2760,600000
Kimberley,Northern Cape,578,700,7050000,9100000,3950,2650,585000
George,Western Cape,560,690,6820000,8970000,3820,2520,560000
Polokwane,Limpopo,548,685,6610000,8905000,3740,2470,550000
Rustenburg,North West,530,675,6360000,8775000,3600,2340,540000
Pietermaritzburg,KZN,518,665,6190000,8645000,3520,2290,530000
Nelspruit,Mpumalanga,502,650,6020000,8450000,3410,2180,510000
Bloemfontein,Free State,490,640,5800000,8320000,3300,2090,500000
Vereeniging,Gauteng,470,630,5480000,8190000,3180,1940,490000
