date,channel,campaign_name,spend,contacts,leads,sales_count,revenue
2026-05-01,Paid Search,May Join Now Search,150000,3800,1420,205,2630000
2026-05-01,Paid Social,May Lead Gen Social,112000,4600,1460,150,1800000
2026-05-01,Organic Search,SEO Non Brand,0,1700,540,88,1120000
2026-05-01,Email & CRM,Member Referral Push,22000,900,330,60,820000
2026-05-01,Direct & Referral,Web Direct,0,1100,450,87,1110000
2026-05-01,Display & Retargeting,Retargeting May,147000,0,0,0,0
2026-05-02,Paid Search,May Join Now Search,157000,3950,1490,214,2780000
2026-05-02,Paid Social,May Lead Gen Social,118000,4750,1510,155,1900000
2026-05-02,Organic Search,SEO Non Brand,0,1790,575,94,1200000
2026-05-02,Email & CRM,Member Referral Push,24000,950,345,63,850000
2026-05-02,Direct & Referral,Web Direct,0,1210,460,86,1130000
2026-05-02,Display & Retargeting,Retargeting May,149000,0,0,0,0
2026-05-03,Paid Search,May Join Now Search,144000,3600,1320,196,2420000
2026-05-03,Paid Social,May Lead Gen Social,105000,4400,1360,142,1680000
2026-05-03,Organic Search,SEO Non Brand,0,1650,520,82,1030000
2026-05-03,Email & CRM,Member Referral Push,21000,880,300,55,740000
2026-05-03,Direct & Referral,Web Direct,0,1050,420,100,1340000
2026-05-03,Display & Retargeting,Retargeting May,150000,300,130,0,0
2026-05-04,Paid Search,May Join Now Search,165000,4200,1590,230,2920000
2026-05-04,Paid Social,May Lead Gen Social,122000,5000,1600,165,2050000
2026-05-04,Organic Search,SEO Non Brand,0,1820,590,96,1230000
2026-05-04,Email & CRM,Member Referral Push,26000,990,360,66,890000
2026-05-04,Direct & Referral,Web Direct,0,1210,460,83,1130000
2026-05-04,Display & Retargeting,Retargeting May,152000,0,0,0,0
2026-05-05,Paid Search,May Join Now Search,176000,4450,1700,244,3100000
2026-05-05,Paid Social,May Lead Gen Social,130000,5300,1730,178,2230000
2026-05-05,Organic Search,SEO Non Brand,0,1930,620,101,1310000
2026-05-05,Email & CRM,Member Referral Push,28000,1030,390,70,940000
2026-05-05,Direct & Referral,Web Direct,0,1240,450,75,930000
2026-05-05,Display & Retargeting,Retargeting May,158000,0,0,0,0
2026-05-15,Paid Search,May Join Now Search,174000,4380,1685,239,3180000
2026-05-15,Paid Social,May Lead Gen Social,126000,5220,1710,172,2190000
2026-05-15,Organic Search,SEO Non Brand,0,1880,610,99,1270000
2026-05-15,Email & CRM,Member Referral Push,27000,1010,385,68,910000
2026-05-15,Direct & Referral,Web Direct,0,1360,530,68,870000
2026-05-15,Display & Retargeting,Retargeting May,155000,0,0,0,0
2026-05-31,Paid Search,May Join Now Search,230000,5650,2260,312,4240000
2026-05-31,Paid Social,May Lead Gen Social,155000,6640,2400,235,3060000
2026-05-31,Organic Search,SEO Non Brand,0,2350,840,138,1810000
2026-05-31,Email & CRM,Member Referral Push,36000,1310,520,92,1220000
2026-05-31,Direct & Referral,Web Direct,0,1900,540,35,390000
2026-05-31,Display & Retargeting,Retargeting May,243000,0,0,0,0
