date,total_sales_count,total_revenue,total_contacts,total_leads,total_spend,online_unassisted_sales,online_unassisted_revenue,sales_target,revenue_target,leads_target,spend_budget,online_sales_target,online_revenue_target
2026-05-01,590,7480000,12100,4200,431000,165,1980000,600,7600000,4100,435000,170,2050000
2026-05-02,612,7860000,12650,4380,448000,171,2120000,600,7600000,4100,435000,170,2050000
2026-05-03,575,7210000,11880,4050,420000,158,1890000,600,7600000,4100,435000,170,2050000
2026-05-04,640,8220000,13220,4600,465000,176,2190000,600,7600000,4100,435000,170,2050000
2026-05-05,668,8510000,13950,4890,492000,182,2280000,600,7600000,4100,435000,170,2050000
2026-05-06,651,8360000,13510,4720,486000,177,2210000,600,7600000,4100,435000,170,2050000
2026-05-07,628,8050000,13040,4520,470000,169,2070000,600,7600000,4100,435000,170,2050000
2026-05-08,690,8890000,14500,5080,510000,191,2410000,600,7600000,4100,435000,170,2050000
2026-05-09,705,9140000,15020,5260,526000,197,2530000,600,7600000,4100,435000,170,2050000
2026-05-10,654,8300000,13620,4760,480000,175,2160000,600,7600000,4100,435000,170,2050000
2026-05-11,620,7940000,12890,4470,456000,164,1990000,600,7600000,4100,435000,170,2050000
2026-05-12,675,8620000,14090,4920,495000,185,2310000,600,7600000,4100,435000,170,2050000
2026-05-13,699,9050000,14960,5210,532000,196,2490000,600,7600000,4100,435000,170,2050000
2026-05-14,642,8210000,13480,4680,475000,173,2110000,600,7600000,4100,435000,170,2050000
2026-05-15,646,8420000,13850,4920,482000,178,2290000,600,7600000,4100,435000,170,2050000
2026-05-16,666,8590000,14120,5010,490000,186,2370000,600,7600000,4100,435000,170,2050000
2026-05-17,611,7810000,12760,4390,451000,161,1970000,600,7600000,4100,435000,170,2050000
2026-05-18,702,9080000,15080,5300,535000,201,2580000,600,7600000,4100,435000,170,2050000
2026-05-19,718,9320000,15410,5440,552000,207,2670000,600,7600000,4100,435000,170,2050000
2026-05-20,695,8970000,14870,5160,528000,194,2480000,600,7600000,4100,435000,170,2050000
2026-05-21,671,8610000,14100,4930,506000,181,2260000,600,7600000,4100,435000,170,2050000
2026-05-22,689,8840000,14680,5120,522000,190,2420000,600,7600000,4100,435000,170,2050000
2026-05-23,731,9480000,15720,5580,570000,215,2760000,600,7600000,4100,435000,170,2050000
2026-05-24,744,9710000,16010,5690,585000,221,2860000,600,7600000,4100,435000,170,2050000
2026-05-25,682,8750000,14490,5050,514000,188,2380000,600,7600000,4100,435000,170,2050000
2026-05-26,706,9130000,15100,5310,540000,203,2600000,600,7600000,4100,435000,170,2050000
2026-05-27,733,9580000,15850,5610,572000,219,2820000,600,7600000,4100,435000,170,2050000
2026-05-28,721,9360000,15480,5450,558000,211,2710000,600,7600000,4100,435000,170,2050000
2026-05-29,762,9980000,16420,5920,604000,230,3010000,600,7600000,4100,435000,170,2050000
2026-05-30,788,10350000,17100,6240,638000,245,3230000,600,7600000,4100,435000,170,2050000
2026-05-31,812,10720000,17850,6560,664000,253,3380000,600,7600000,4100,435000,170,2050000
